1,6.161776205582882
2,23.832486449455754
3,56.52638354158384
4,116.01579360784996
5,207.63673724918542
6,312.67320314487677
7,479.9910214962756
8,697.2723517935951
9,1001.25077375856
10,1318.7753588756652
11,1690.0324401368384
12,2194.246309256282
13,2649.223332316778
14,3443.270553064246
15,3949.155424318185
16,4899.8990523994125
17,5859.29954878373
18,6592.023126730873
19,7856.748833492305
20,8914.459965300643
21,10375.708054871631
22,12328.887844076766
23,14269.445733932165
24,15302.852240036787
25,17807.644490587623
26,19934.03443335633
27,22060.340813475745
28,25215.67056542461
29,26833.072147841416
30,29538.48271500278
